fullName,classRoll,gender,dob,doa,mobile,bloodGroup,address,others,fatherName,motherName,fatherPhone,gurdianName,relation,gurdianPhone
Student_1,1,Male,2012-12-12,2024-12-12,1711303030,O+,,,F.Name_1,M.Name_1,1711303030,G.Name_1,Father,1711303030
Student_2,2,Female,2012-12-13,2024-12-13,1711303031,A+,,,F.Name_2,M.Name_2,1711303031,G.Name_2,Father,1711303031
Student_3,3,Male,2012-12-14,2024-12-14,1711303032,B+,,,F.Name_3,M.Name_3,1711303032,G.Name_3,Father,1711303032
Student_4,4,Male,2012-12-15,2024-12-15,1711303033,O+,,,F.Name_4,M.Name_4,1711303033,G.Name_4,Father,1711303033
Student_5,5,Male,2012-12-16,2024-12-16,1711303034,A+,,,F.Name_5,M.Name_5,1711303034,G.Name_5,Father,1711303034
Student_6,6,Male,2012-12-17,2024-12-17,1711303035,B+,,,F.Name_6,M.Name_6,1711303035,G.Name_6,Father,1711303035
Student_7,7,Male,2012-12-18,2024-12-18,1711303036,O+,,,F.Name_7,M.Name_7,1711303036,G.Name_7,Father,1711303036
Student_8,8,Male,2012-12-19,2024-12-19,1711303037,A+,,,F.Name_8,M.Name_8,1711303037,G.Name_8,Father,1711303037
Student_9,9,Male,2012-12-20,2024-12-20,1711303038,B+,,,F.Name_9,M.Name_9,1711303038,G.Name_9,Father,1711303038
Student_10,10,Male,2012-12-21,2024-12-21,1711303039,O+,,,F.Name_10,M.Name_10,1711303039,G.Name_10,Father,1711303039
Student_11,11,Male,2012-12-22,2024-12-22,1711303040,A+,,,F.Name_11,M.Name_11,1711303040,G.Name_11,Father,1711303040
Student_12,12,Male,2012-12-23,2024-12-23,1711303041,B+,,,F.Name_12,M.Name_12,1711303041,G.Name_12,Father,1711303041
Student_13,13,Male,2012-12-24,2024-12-24,1711303042,O+,,,F.Name_13,M.Name_13,1711303042,G.Name_13,Father,1711303042
Student_14,14,Male,2012-12-25,2024-12-25,1711303043,A+,,,F.Name_14,M.Name_14,1711303043,G.Name_14,Father,1711303043
